PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Basner, M; Brink, M; Bristow, A; de Kluizenaar, Y; Finegold, L; Hong, J; Janssen, SA; Klaeboe, R; Leroux, T; Liebl, A; Matsui, T; Schwela, D; Sliwinska-Kowalska, M; Sorqvist, P				Basner, Mathias; Brink, Mark; Bristow, Abigail; de Kluizenaar, Yvonne; Finegold, Lawrence; Hong, Jiyoung; Janssen, Sabine A.; Klaeboe, Ronny; Leroux, Tony; Liebl, Andreas; Matsui, Toshihito; Schwela, Dieter; Sliwinska-Kowalska, Mariola; Sorqvist, Patrik			ICBEN review of research on the biological effects of noise 2011-2014	NOISE & HEALTH			English	Review						Annoyance; health; hearing loss; noise; performance; pollution; sleep	ROAD-TRAFFIC NOISE; INDUCED HEARING-LOSS; WIND TURBINE NOISE; WORKING-MEMORY CAPACITY; LONG-TERM EXPOSURE; QUALITY-OF-LIFE; INDUCED COCHLEAR NEUROPATHY; PERSONAL LISTENING DEVICES; SELF-REPORTED HYPERTENSION; CHILDRENS BLOOD-PRESSURE	The mandate of the International Commission on Biological Effects of Noise (ICBEN) is to promote a high level of scientific research concerning all aspects of noise-induced effects on human beings and animals. In this review, ICBEN team chairs and co-chairs summarize relevant findings, publications, developments, and policies related to the biological effects of noise, with a focus on the period 2011-2014 and for the following topics: Noise-induced hearing loss; nonauditory effects of noise; effects of noise on performance and behavior; effects of noise on sleep; community response to noise; and interactions with other agents and contextual factors. Occupational settings and transport have been identified as the most prominent sources of noise that affect health. These reviews demonstrate that noise is a prevalent and often underestimated threat for both auditory and nonauditory health and that strategies for the prevention of noise and its associated negative health consequences are needed to promote public health.	[Basner, Mathias] Univ Penn, Dept Psychiat, Div Sleep & Chronobiol, Philadelphia, PA 19104 USA; [Brink, Mark] Noise & NIR Div, Fed Off Environm, Bern, Switzerland; [Bristow, Abigail] Univ Loughborough, Sch Civil & Bldg Engn, Loughborough, Leics, England; [de Kluizenaar, Yvonne; Janssen, Sabine A.] Netherlands Org Appl Sci Res TNO, Dept Urban Environm & Safety, Delft, Netherlands; [Finegold, Lawrence] Finegold & So Consultants, Centerville, OH 45459 USA; [Hong, Jiyoung] Korea Railrd Res Inst, Ecotransport Res Div, Uiwang, South Korea; [Klaeboe, Ronny] Inst Transport Econ TOI, Dept Safety Secur & Environm, Oslo, Norway; [Leroux, Tony] Univ Montreal, Sch Speech Language & Audiol, Montreal, PQ, Canada; [Liebl, Andreas] Fraunhofer Inst Bldg Phys IBP, Dept Acoust, Stuttgart, Germany; [Matsui, Toshihito] Hokkaido Univ, Dept Environm Engn, Sapporo, Hokkaido 060, Japan; [Schwela, Dieter] Univ York, Dept Environm, Stockholm Environm Inst, York YO10 5DD, N Yorkshire, England; [Sliwinska-Kowalska, Mariola] Nofer Inst Occupat Med, Dept Audiol & Phoniatr, Lodz, Poland; [Sorqvist, Patrik] Univ Gavle, Dept Bldg Energy & Environm Engn, Gavle, Sweden; [Sorqvist, Patrik] Linkoping Univ, Linnaeus Ctr HEAD, Swedish Inst Disabil Res, Linkoping, Sweden	Basner, M (reprint author), Univ Penn, Dept Psychiat, Div Sleep & Chronobiol, Perelman Sch Med, 1013 Blockley Hall,423 Guardian Dr, Philadelphia, PA 19104 USA.	basner@mail.med.upenn.edu	Sliwinska-Kowalska, Mariola/F-6119-2010; Bristow, Abigail/E-4775-2012	Sliwinska-Kowalska, Mariola/0000-0001-7569-3882; Bristow, Abigail/0000-0002-9757-4929; Sorqvist, Patrik/0000-0002-7584-2275				310	19	19	8	56	MEDKNOW PUBLICATIONS & MEDIA PVT LTD	MUMBAI	B-9, KANARA BUSINESS CENTRE, OFF LINK RD, GHAKTOPAR-E, MUMBAI, 400075, INDIA	1463-1741	1998-4030		NOISE HEALTH	Noise Health	MAR-APR	2015	17	75					57	82		10.4103/1463-1741.153373		26	Audiology & Speech-Language Pathology; Public, Environmental & Occupational Health	Audiology & Speech-Language Pathology; Public, Environmental & Occupational Health	CE3TR	WOS:000351752400001	25774609	gold	Y	N	2017-07-26	
J	Dahms, SO; Mayer, MC; Roeser, D; Multhaup, G; Than, ME				Dahms, Sven O.; Mayer, Magnus C.; Roeser, Dirk; Multhaup, Gerd; Than, Manuel E.			Interaction of the amyloid precursor protein-like protein 1 (APLP1) E2 domain with heparan sulfate involves two distinct binding modes	ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY			English	Article						APP-like protein 1; heparan sulfate binding domain; protein heparin complex; Alzheimer's disease	ALZHEIMERS-DISEASE; FAMILY-MEMBERS; F-SPONDIN; APP; RECEPTOR; DIMERIZATION; SITE; CRYSTALLOGRAPHY; PROTEOGLYCANS; SPECIFICITY	Beyond the pathology of Alzheimer's disease, the members of the amyloid precursor protein (APP) family are essential for neuronal development and cell homeostasis in mammals. APP and its paralogues APP-like protein 1 (APLP1) and APP-like protein 2 (APLP2) contain the highly conserved heparan sulfate (HS) binding domain E2, which effects various (patho)physiological functions. Here, two crystal structures of the E2 domain of APLP1 are presented in the apo form and in complex with a heparin dodecasaccharide at 2.5 angstrom resolution. The apo structure of APLP1 E2 revealed an unfolded and hence flexible N-terminal helix alpha A. The (APLP1 E2) 2-(heparin) 2 complex structure revealed two distinct binding modes, with APLP1 E2 explicitly recognizing the heparin terminus but also interacting with a continuous heparin chain. The latter only requires a certain register of the sugar moieties that fits to a positively charged surface patch and contributes to the general heparin-binding capability of APP-family proteins. Terminal binding of APLP1 E2 to heparin specifically involves a structure of the nonreducing end that is very similar to heparanase-processed HS chains. These data reveal a conserved mechanism for the binding of APP-family proteins to HS and imply a specific regulatory role of HS modifications in the biology of APP and APP-like proteins.	[Dahms, Sven O.; Roeser, Dirk; Than, Manuel E.] Leibniz Inst Age Res FLI, Prot Crystallog Grp, D-07745 Jena, Germany; [Mayer, Magnus C.] Free Univ Berlin, Inst Chem & Biochem, D-14195 Berlin, Germany; [Mayer, Magnus C.] Miltenyi Biotec GmbH, D-17166 Teterow, Germany; [Multhaup, Gerd] McGill Univ, Dept Pharmacol & Therapeut, Montreal, PQ H3G 1Y6, Canada	Dahms, SO (reprint author), Leibniz Inst Age Res FLI, Prot Crystallog Grp, Beutenbergstr 11, D-07745 Jena, Germany.	sdahms@fli-leibniz.de; than@fli-leibniz.de	Than, Manuel/F-7536-2015	Than, Manuel/0000-0002-4707-9225				59	3	3	0	0	INT UNION CRYSTALLOGRAPHY	CHESTER	2 ABBEY SQ, CHESTER, CH1 2HU, ENGLAND	2059-7983			ACTA CRYSTALLOGR D	Acta Crystallogr. Sect. D-Struct. Biol.	MAR	2015	71		3				494	504		10.1107/S1399004714027114		11	Biochemical Research Methods; Biochemistry & Molecular Biology; Biophysics; Crystallography	Biochemistry & Molecular Biology; Biophysics; Crystallography	CD5VD	WOS:000351155400008	25760599	No			2017-07-26	
J	Checknita, D; Maussion, G; Labonte, B; Comai, S; Tremblay, RE; Vitaro, F; Turecki, N; Bertazzo, A; Gobbi, G; Cote, G; Turecki, G				Checknita, D.; Maussion, G.; Labonte, B.; Comai, S.; Tremblay, R. E.; Vitaro, F.; Turecki, N.; Bertazzo, A.; Gobbi, G.; Cote, G.; Turecki, G.			Monoamine oxidase A gene promoter methylation and transcriptional downregulation in an offender population with antisocial personality disorder	BRITISH JOURNAL OF PSYCHIATRY			English	Article							CHILDHOOD MALTREATMENT; AGGRESSIVE-BEHAVIOR; BRAIN-SEROTONIN; MAOA GENOTYPE; ABUSE; ENVIRONMENT; ADOLESCENCE; IMPULSIVITY; EXPRESSION; CHILDREN	Background Antisocial personality disorder (ASPD) is characterised by elevated impulsive aggression and increased risk for criminal behaviour and incarceration. Deficient activity of the monoamine oxidase A (MAOA) gene is suggested to contribute to serotonergic system dysregulation strongly associated with impulsive aggression and antisocial criminality. Aims To elucidate the role of epigenetic processes in altered MAOA expression and serotonin regulation in a population of incarcerated offenders with ASPD compared with a healthy non-incarcerated control population. Method Participants were 86 incarcerated participants with ASPD and 73 healthy controls. MAOA promoter methylation was compared between case and control groups. We explored the functional impact of MAOA promoter methylation on gene expression in vitro and blood 5-HT levels in a subset of the case group. Results Results suggest that MAOA promoter hypermethylation is associated with ASPD and may contribute to downregulation of MAOA gene expression, as indicated by functional assays in vitro, and regression analysis with whole-blood serotonin levels in offenders with ASPD. Conclusions These results are consistent with prior literature suggesting MAOA and serotonergic dysregulation in antisocial populations. Our results offer the first evidence suggesting epigenetic mechanisms may contribute to MAOA dysregulation in antisocial offenders.	[Checknita, D.; Maussion, G.; Turecki, N.; Turecki, G.] McGill Univ, McGill Grp Suicide Studies, Douglas Mental Hlth Univ Inst, Montreal, PQ, Canada; [Labonte, B.] Icahn Sch Med Mt Sinai, Fishberg Dept Neurosci, New York, NY 10029 USA; [Labonte, B.] Icahn Sch Med Mt Sinai, Friedman Brain Inst, New York, NY 10029 USA; [Comai, S.; Gobbi, G.] McGill Univ, Dept Psychiat, Neurobiol Psychiat Unit, Montreal, PQ, Canada; [Tremblay, R. E.] Univ Coll Dublin, Sch Publ Hlth Physiotherapy & Populat Sci, Dublin 2, Ireland; [Tremblay, R. E.] Univ Montreal, Dept Pediat, Montreal, PQ H3C 3J7, Canada; [Tremblay, R. E.] Univ Montreal, Dept Psychol, Montreal, PQ H3C 3J7, Canada; [Vitaro, F.] Univ Montreal, Sch Psychoeduc, Montreal, PQ, Canada; [Bertazzo, A.] Univ Padua, Dept Pharmaceut Sci, Padua, Italy; [Cote, G.] Univ Quebec Trois Riveres, Dept Psychol, Inst Philippe Pinel, Montreal, PQ, Canada	Turecki, G (reprint author), Douglas Mental Hlth Univ Inst, McGill Grp Suicide Studies, Bur F-3125,6875 Blvd LaSalle, Montreal, PQ H4H 1R3, Canada.	gustavo.turecki@mcgill.ca	Stefano, Comai/J-6397-2016; Tremblay, Richard/O-1360-2014	Stefano, Comai/0000-0002-5686-7194; 				45	19	19	2	24	ROYAL COLLEGE OF PSYCHIATRISTS	LONDON	BRITISH JOURNAL OF PSYCHIATRY 17 BELGRAVE SQUARE, LONDON SW1X 8PG, ENGLAND	0007-1250	1472-1465		BRIT J PSYCHIAT	Br. J. Psychiatry	MAR	2015	206	3					216	222		10.1192/bjp.bp.114.144964		7	Psychiatry	Psychiatry	CE0FC	WOS:000351478900007	25497297	No			2017-07-26	
J	Delaney, JS; Lamfookon, C; Bloom, GA; Al-Kashmiri, A; Correa, JA				Delaney, J. Scott; Lamfookon, Charles; Bloom, Gordon A.; Al-Kashmiri, Ammar; Correa, Jose A.			Why University Athletes Choose Not to Reveal Their Concussion Symptoms During a Practice or Game	CLINICAL JOURNAL OF SPORT MEDICINE			English	Article						concussion; symptoms; team sports; university; reasons	TRAUMATIC BRAIN-INJURY; HIGH-SCHOOL FOOTBALL; HEAD-INJURIES; SOCCER PLAYERS; INTERNATIONAL-CONFERENCE; CEREBRAL CONCUSSION; CONSENSUS STATEMENT; SPORT HELD; EPIDEMIOLOGY; PREVENTION	Objective: To determine why athletes decide not to seek medical attention during a game or practice when they believe they have suffered a concussion. Design: A retrospective survey. Setting: University Sport Medicine Clinic. Participants: A total of 469 male and female university athletes from several varsity team sports were participated in the study. Main Outcome Measures: Athletes were surveyed about the previous 12 months to identify specific reasons why those athletes who believed they had suffered a concussion during a game or practice decided not to seek attention at that time, how often these reasons occurred, and how important these reasons were in the decision process. Results: Ninety-two of the 469 athletes (19.6%) believed they had suffered a concussion within the previous 12 months while playing their respective sport, and 72 of these 92 athletes (78.3%) did not seek medical attention during the game or practice at least once during that time. Sports in which athletes were more likely to not reveal their concussion symptoms were football and ice hockey. The reason "Did not feel the concussion was serious/severe and felt you could still continue to play with little danger to yourself," was listed most commonly (55/92) as a cause for not seeking medical attention for a presumed concussion. Conclusions: A significant percentage of university athletes who believed they had suffered a concussion chose not to seek medical attention at the time of injury. Improved education of players, parents, and coaches about the dangers of continuing to play with concussion symptoms may help improve reporting.	[Delaney, J. Scott] McGill Sport Med Clin, Montreal, PQ H2W 1S4, Canada; [Delaney, J. Scott] McGill Univ, Ctr Hlth, Dept Emergency Med, Montreal, PQ, Canada; [Lamfookon, Charles] McGill Univ, Royal Coll Emergency Med, Residency Program, Montreal, PQ, Canada; [Bloom, Gordon A.] McGill Univ, Dept Kinesiol & Phys Educ, Montreal, PQ, Canada; [Al-Kashmiri, Ammar] Khoula Hosp, Dept Emergency Med, Muscat, Oman; [Correa, Jose A.] McGill Univ, Dept Math & Stat, Montreal, PQ, Canada	Delaney, JS (reprint author), McGill Sport Med Clin, 475 Pine Ave West, Montreal, PQ H2W 1S4, Canada.	j.delaney@staff.mcgill.ca						39	11	11	3	18	LIPPINCOTT WILLIAMS & WILKINS	PHILADELPHIA	TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA	1050-642X	1536-3724		CLIN J SPORT MED	Clin. J. Sport Med.	MAR	2015	25	2					113	125				13	Orthopedics; Physiology; Sport Sciences	Orthopedics; Physiology; Sport Sciences	CD3RP	WOS:000350998200007	24949831	No			2017-07-26	
J	Solomonova, E				Solomonova, Elizaveta			Primacy of Consciousness and Enactive Imagination	CONSTRUCTIVIST FOUNDATIONS			English	Article								This interdisciplinary work draws on phenomenology, Indian philosophy, Tibetan Buddhism, cognitive neurosciences and a variety of personal and literary examples of conscious phenomena. Thompson proposes a view of consciousness and self as dynamic embodied processes, co-dependent with the world. According to this view, dreaming is a process of spontaneous imagination and not a delusional hallucination. This work aims at laying the ground for systematic neurophenomenological investigation of first-person experience.	[Solomonova, Elizaveta] Univ Montreal, Montreal, PQ H3C 3J7, Canada; [Solomonova, Elizaveta] Univ Montreal, Psychol, Montreal, PQ H3C 3J7, Canada	Solomonova, E (reprint author), Univ Montreal, Montreal, PQ H3C 3J7, Canada.	elizaveta.solomonova@umontreal.ca						12	0	0	1	6	ALEXANDER RIEGLER	BRUSSELS	CENTER LEO APOSTEL INTERDISCIPLINARY STUDIES, VRIJE UNIVERSITEIT BRUSSEL, KRIJGSKUNDESTRAAT 33, BRUSSELS, B-1160, BELGIUM	1782-348X			CONSTR FOUND	Constr. Found.	MAR	2015	10	2					267	270				4	Philosophy	Philosophy	CD3LM	WOS:000350980000032		No			2017-07-26	
J	An, DM; Dubeau, F; Gotman, J				An, Dongmei; Dubeau, Francois; Gotman, Jean			BOLD responses related to focal spikes and widespread bilateral synchronous discharges generated in the frontal lobe	EPILEPSIA			English	Article						EEG/fMRI; BOLD; Focal spikes; Widespread bilateral synchronous discharges	IDIOPATHIC GENERALIZED EPILEPSY; EEG-FMRI; WAVE DISCHARGES; DEFAULT MODE; BRAIN; NETWORKS; THALAMUS; PATHOPHYSIOLOGY; CONSCIOUSNESS; ACTIVATION	Objective: To investigate whether specific frontal regions have a tendency to generate widespread bilateral synchronous discharges (WBSDs) and others focal spikes and to determine the regions most involved when WBSDs occur; to assess the relationships between the extent of electroencephalography (EEG) discharges and the extent of metabolic changes measured by EEG/functional magnetic resonance imaging (fMRI). Methods: Thirty-seven patients with interictal epileptic discharges (IEDs) with fronto-central predominance underwent EEG/fMRI. Patients were divided into a Focal (20 patients) group with focal frontal spikes and a WBSD group (17 patients). Maps of hemodynamic responses related to IEDs were compared between the two groups. Results: The mean number +/- SD of IEDs in the Focal group was 137.5 +/- 38.1 and in the WBSD group, 73.5 +/- 16.6 (p = 0.07). The volume of hemodynamic responses in the WBSD group was significantly larger than in the Focal group (mean, 243.3 +/- 41.1 versus 114.8 +/- 27.4 cm(3), p = 0.01). Maximum hemodynamic responses occurred in both groups in the following regions: dorsolateral prefrontal, mesial prefrontal, cingulate, and supplementary motor cortices. Maxima in premotor and motor cortex, frontal operculum, frontopolar, and orbitofrontal regions were found only in the Focal group, and maxima in thalamus and caudate only occurred in the WBSD group. Thalamic responses were significantly more common in the WBSD group (14/17) than in the Focal group (7/20), p = 0.004. Deactivation in the default mode network was significantly more common in the WBSD group (14/17) than in the Focal group (10/20), p = 0.04. Significance: The spatial distribution and extent of blood oxygen level-dependent (BOLD) responses correlate well with electrophysiologic changes. Focal frontal spikes and WBSDs are not region specific in the frontal lobe, and the same frontal region can generate focal and generalized discharges. This suggests that widespread discharges reflect widespread epileptogenicity rather than a focal discharge located in a region favorable to spreading. The thalamus plays an important role in bilateral synchronization.	[An, Dongmei; Dubeau, Francois; Gotman, Jean] McGill Univ, Montreal Neurol Inst & Hosp, Montreal, PQ H3A 2B4, Canada; [An, Dongmei] Sichuan Univ, Dept Neurol, West China Hosp, Chengdu 610064, Peoples R China	Gotman, J (reprint author), McGill Univ, Montreal Neurol Inst, 3801 Univ St,Room 767, Montreal, PQ H3A 2B4, Canada.	jean.gotman@mcgill.ca			Canadian Institutes of Health Research [MOP-38079]; Chinese Scholarship Council	This study was supported by the Canadian Institutes of Health Research (MOP-38079). D. An was supported by the Chinese Scholarship Council. The authors thank Natalja Zazubovits for helping to collect and analyze the data.		40	5	5	2	4	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0013-9580	1528-1167		EPILEPSIA	Epilepsia	MAR	2015	56	3					366	374		10.1111/epi.12909		9	Clinical Neurology	Neurosciences & Neurology	CD6ZP	WOS:000351240300008	25599979	No			2017-07-26	
J	Provost, JS; Monchi, O				Provost, Jean-Sebastien; Monchi, Oury			Exploration of the dynamics between brain regions associated with the default-mode network and frontostriatal pathway with regards to task familiarity	EUROPEAN JOURNAL OF NEUROSCIENCE			English	Article						default-mode network; executive processes; functional magnetic resonance imaging; prefrontal cortex; set-shifting; striatum	CONSCIOUS RESTING STATE; WORKING-MEMORY; FUNCTIONAL CONNECTIVITY; PARKINSONS-DISEASE; PREFRONTAL CORTEX; DEACTIVATIONS; PERFORMANCE; ATTENTION; IMPLICIT	Specific brain regions have consistently been reported to be activated during resting state period, and they were described as being part of a particular network called the default-mode network (DMN). It has been shown that the DMN would deactivate during goal-directed tasks, but the actual relationship between them is still a matter of debate. In a previous study, we reported a specific pattern of activation of the frontostriatal regions during a set-shifting task in which these regions were increasing their activity as set-shifts were performed continuously and decreasing when the same rule was executed repeatedly. The present study aimed at assessing the relationship between the frontostriatal regions and the DMN. We hypothesized that the DMN would be anticorrelated with the frontostriatal regions so the DMN would be more deactivated as set-shifts are executed for a long period, but would start increasing when the same rule is being executed for a long period. Here, 15 participants underwent functional magnetic resonance imaging while performing a card-sorting task. We observed increased activity in the frontostriatal regions as more set-shifts are being performed while the DMN gets more deactivated. Interestingly, as decreased activity was observed in the frontostriatal regions during the execution of the same rule for a long period, the DMN showed increasing activity. We argue that there is an anticorrelation between the frontostriatal regions and the DMN, but also that the DMN could show positive activation during performance of a familiar goal-directed task.	[Provost, Jean-Sebastien; Monchi, Oury] Inst Univ Geriatrie Montreal, Ctr Rech, Funct Neuroimaging Unit, Montreal, PQ H3W 1W5, Canada; [Provost, Jean-Sebastien; Monchi, Oury] Univ Montreal, Dept Radiol, Montreal, PQ, Canada	Monchi, O (reprint author), Inst Univ Geriatrie Montreal, Ctr Rech, Funct Neuroimaging Unit, 4565 Queen Mary Rd, Montreal, PQ H3W 1W5, Canada.	oury.monchi@umontreal.ca			Natural Sciences and Engineering Research Council of Canada [327518]	The authors would like to thank all the participants, the staff of the functional Neuroimaging Unit at the CRIUGM for practical help as well as support. This work was funded by a grant from the Natural Sciences and Engineering Research Council of Canada to O.M. (No. 327518).		47	1	1	1	6	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0953-816X	1460-9568		EUR J NEUROSCI	Eur. J. Neurosci.	MAR	2015	41	6					835	844		10.1111/ejn.12821		10	Neurosciences	Neurosciences & Neurology	CD9SQ	WOS:000351439000010	25620606	No			2017-07-26	
J	Fakhoury, M				Fakhoury, Marc			New insights into the neurobiological mechanisms of major depressive disorders	GENERAL HOSPITAL PSYCHIATRY			English	Article						Antidepressant drug; Major depressive disorder; Neurobiology; Neurotransmitter	SEROTONIN TRANSPORTER POLYMORPHISM; MAGNETIC-RESONANCE SPECTROSCOPY; AMINOBUTYRIC-ACID LEVELS; NEUROPSYCHIATRIC DISORDERS; TRICYCLIC ANTIDEPRESSANTS; TREATMENT ALTERNATIVES; PSYCHIATRIC-DISORDERS; REUPTAKE INHIBITORS; DNA METHYLATION; MOOD DISORDERS	Objective: To review the current evidence about the neurobiological mechanisms in major depressive disorders (MDD) and the key findings from studies using neuroimaging tools and animal models. Method: This paper gives an overview of the role of genetic and environmental factors in the pathophysiology of MDD and describes the structural changes in brain structures of depressed individuals. A closer look is given at the molecular processes and neurotransmitters implicated in this mental disorder. Moreover, this paper discusses key findings from recent research using animal models and their relevance for clinical applications. Results: Although the exact cause of MDD is not known, there is enough evidence showing that genetic, psychological and environmental factors significantly increase the risk of developing this disease. Individuals affected by MDD exhibit a reduced volume of structures such as the amygdala, hippocampus and basal ganglia, as well as altered level of neurotransmitters in the brain. Conclusion: The studies presented in this review show promising results that could shed light on the molecular mechanisms of MDD. However, more work needs to be done to better understand this psychiatric disorder and promote the development of new treatment strategies. Crown Copyright (C) 2015 Published by Elsevier Inc. All rights reserved.	Univ Montreal, Fac Med, Dept Neurosci, Montreal, PQ H3C 3J7, Canada	Fakhoury, M (reprint author), Univ Montreal, Fac Med, Dept Neurosci, Montreal, PQ H3C 3J7, Canada.	marc.fakhoury@umontreal.ca			Natural Sciences and Engineering Research Council of Canada	The author acknowledges the help of a discovery grant from the Natural Sciences and Engineering Research Council of Canada.		75	7	7	2	17	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0163-8343	1873-7714		GEN HOSP PSYCHIAT	Gen. Hosp. Psych.	MAR-APR	2015	37	2					172	177		10.1016/j.genhosppsych.2015.01.005		6	Psychiatry	Psychiatry	CD5GG	WOS:000351115400013	25772946	No			2017-07-26	
J	Samuels, ME; Alos, N; Deal, CL				Samuels, Mark E.; Alos, Nathalie; Deal, Cheri L.			Response to: Does IARS2 Deficiency Cause an Intrinsic Disorder of Bone Development (Skeletal Dysplasia) or Are the Reported Skeletal Changes Secondary to Growth Hormone Deficiency and Neuromuscular Involvement?	HUMAN MUTATION			English	Letter									[Samuels, Mark E.] Univ Montreal, Dept Med, Montreal, PQ H3C 3J7, Canada; [Samuels, Mark E.; Alos, Nathalie; Deal, Cheri L.] Univ Montreal, CHU Ste Justine, Ctr Rech, Montreal, PQ, Canada; [Alos, Nathalie; Deal, Cheri L.] Ctr Hosp Univ Ste Justine, Dept Pediat, Montreal, PQ H3T 1C5, Canada; [Alos, Nathalie; Deal, Cheri L.] Ctr Hosp Univ Ste Justine, Serv Endocrinol, Montreal, PQ H3T 1C5, Canada	Deal, CL (reprint author), Ctr Hosp Univ Ste Justine, Dept Pediat, 3175 Cote Ste Catherine, Montreal, PQ H3T 1C5, Canada.	cheri.l.deal@umontreal.ca						3	1	1	0	0	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1059-7794	1098-1004		HUM MUTAT	Hum. Mutat.	MAR	2015	36	3					389	389		10.1002/humu.22752		1	Genetics & Heredity	Genetics & Heredity	CD9EG	WOS:000351399900016	25771765	No			2017-07-26	
J	Bier, N; Grenier, S; Brodeur, C; Gauthier, S; Gilbert, B; Hudon, C; Lepage, E; Ouellet, MC; Viscogliosi, C; Belleville, S				Bier, Nathalie; Grenier, Sebastien; Brodeur, Catherine; Gauthier, Serge; Gilbert, Brigitte; Hudon, Carol; Lepage, Emilie; Ouellet, Marie-Christine; Viscogliosi, Chantal; Belleville, Sylvie			Measuring the impact of cognitive and psychosocial interventions in persons with mild cognitive impairment with a randomized single-blind controlled trial: rationale and design of the MEMO plus study	INTERNATIONAL PSYCHOGERIATRICS			English	Article						mild cognitive impairment; cognitive training; psychosocial intervention; randomized clinical trial; memory; psychosocial aspects; neuropsychological testing	DWELLING OLDER-ADULTS; GENERALIZED ANXIETY DISORDER; FREE-RECALL PERFORMANCE; OF-THE-LITERATURE; ALZHEIMERS-DISEASE; BEHAVIORAL TREATMENT; ANTIDEPRESSANT MEDICATION; INSTRUMENTAL ACTIVITIES; PSYCHOMETRIC PROPERTIES; REHABILITATION PROGRAM	Background: Several studies have suggested that cognitive training is a potentially effective way to improve cognition and postpone cognitive decline in older adults with mild cognitive impairment (MCI). The MEMO+ study is a randomized, controlled, single-blind trial designed to test the efficacy, specificity, and long-term effect of a cognitive training intervention and a psychosocial intervention in persons with MCI. Methods: One hundred and sixty-two participants with MCI will be recruited. They will be randomized into three groups: cognitive training, psychosocial intervention, and no-contact. Each intervention will last for eight weeks (one session per week) and a booster training session will be provided three months after the end of the intervention. Various proximal and distal outcomes will be measured at pre-intervention as well as at one week, three months, and six months post-training. Proximal outcomes include memory and psychological health measures. Distal outcomes focus on self-rated functioning in complex daily activities and strategies used in daily life to enhance function. Socio-demographic factors (age, gender, and education), general cognition, personality traits, engagement in activities, and self-efficacy will be used as moderators. Enrolment began in April 2012 and will be completed by December 2014. Conclusions: This study is likely to have a significant impact on the well-being of persons with MCI by contributing to the development of adapted and scientifically supported cognitive and psychosocial interventions.	[Bier, Nathalie; Grenier, Sebastien; Gilbert, Brigitte; Lepage, Emilie; Belleville, Sylvie] Inst Univ Geriatrie Montreal, Ctr Rech, Montreal, PQ H3W 1W4, Canada; [Bier, Nathalie] Univ Montreal, Ecole Readaptat, Montreal, PQ H3C 3J7, Canada; [Brodeur, Catherine] McGill Hlth Ctr, Montreal, PQ H3G 1A4, Canada; [Brodeur, Catherine; Gauthier, Serge] McGill Univ, Fac Med, Montreal, PQ H3G 1Y6, Canada; [Gauthier, Serge] McGill Ctr Studies Aging, Verdun, PQ H4H 1R2, Canada; [Hudon, Carol] Inst Univ Sante Mentale Quebec, Quebec City, PQ G1J 2G3, Canada; [Hudon, Carol; Ouellet, Marie-Christine] Univ Laval, Programme Psychol, Quebec City, PQ G1V 0A6, Canada; [Ouellet, Marie-Christine] Ctr Interdisciplinaire Rech Readaptat & Integrat, Quebec City, PQ G1M 2S8, Canada; [Viscogliosi, Chantal] Univ Sherbrooke, Programme Gerontol, Sherbrooke, PQ J1K 2R1, Canada; [Grenier, Sebastien; Belleville, Sylvie] Univ Montreal, Dept Psychol, Montreal, PQ H3C 3J7, Canada	Belleville, S (reprint author), Inst Univ Geriatrie Montreal, Ctr Rech, 4545 Chemin Queen Mary, Montreal, PQ H3W 1W5, Canada.	sylvie.belleville@umontreal.ca			Canadian Institutes of Health Research (CIHR); Fonds de recherche du Quebec - Sante; CIHR	The Canadian Institutes of Health Research (CIHR) funded this project. Carol Hudon and Marie-Christine Ouellet received a salary award from the Fonds de recherche du Quebec - Sante. Sebastien Grenier received a postdoctoral fellowship from CIHR. We particularly want to thank Samira Mellah who coordinated the pilot study.		104	1	1	4	17	CAMBRIDGE UNIV PRESS	NEW YORK	32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA	1041-6102	1741-203X		INT PSYCHOGERIATR	Int. Psychogeriatr.	MAR	2015	27	3					511	525		10.1017/S1041610214001902		15	Psychology, Clinical; Geriatrics & Gerontology; Gerontology; Psychiatry; Psychology	Psychology; Geriatrics & Gerontology; Psychiatry	CD4MM	WOS:000351057100017	25268968	No			2017-07-26	
