PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Youssefi, N; Moselhi, O		Perdomo-Rivera, JL; Gonzalez-Quevedo, A; Lopez DelPuerto, C; Maldonado-Fortunet, F; Molina-Bas, OI		Youssefi, Niloufar; Moselhi, Osama			Risk Asset Management of Power Grids	CONSTRUCTION RESEARCH CONGRESS 2016: OLD AND NEW CONSTRUCTION TECHNOLOGIES CONVERGE IN HISTORIC SAN JUAN			English	Proceedings Paper	Construction Research Congress	MAY 31-JUN 02, 2016	Univ Puerto Rico Mayaguez, Dept Civil Engn & Surveying, Construct Engn & M, San Juan, PR	Amer Soc Civil Engineers, Construct Inst, Construct Res Council	Univ Puerto Rico Mayaguez, Dept Civil Engn & Surveying, Construct Engn & M		ELECTRIC-POWER; PERFORMANCE	Electric power supply grids are vital to social and economic activities as well as to public safety and wellbeing and are ranked as the highest critical infrastructure. There are substantial adverse impacts on society when power grids fail such as disruption to traffic and shut down in the operation of other critical infrastructure elements. This paper presents a novel method to assist in forecasting the probability of power outage based on weather condition in four Canadian provinces-Quebec, Ontario, New Brunswick, and Nova Scotia. System disturbances reports, provided by the North American Electric Reliability Corporation (NERC) from 1992 to 2009, have been scrutinized to determine the conditions that lead to power outage. Based on the reports above, weather condition is found to be a major cause behind power outage that justifies the necessity of a comprehensive study in this area. As a result, a forecasting model for power failure based on weather conditions is developed by artificial neural network (ANN). Once the prototype model is trained, it is able to predict the probability of power outage occurrences by utilizing forecasted weather data for a specific location. Finally, a case study is presented to illustrate the applicability and accuracy of the developed method.	[Youssefi, Niloufar] Concordia Univ, Dept Bldg Civil & Environm Engn, 1515 St Catherine W,Room EV-11-255, Montreal, PQ H3G 2W1, Canada; [Moselhi, Osama] Concordia Univ, Dept Bldg Civil & Environm Engn, 1515 St Catherine W,Room EV-6-401, Montreal, PQ H3G 2W1, Canada	Youssefi, N (reprint author), Concordia Univ, Dept Bldg Civil & Environm Engn, 1515 St Catherine W,Room EV-11-255, Montreal, PQ H3G 2W1, Canada.	nilufar.yousefi@gmail.com; osama.moselhi@encs.concordia.ca						32	0	0	1	1	AMER SOC CIVIL ENGINEERS	NEW YORK	UNITED ENGINEERING CENTER, 345 E 47TH ST, NEW YORK, NY 10017-2398 USA			978-0-7844-7982-7				2016							1628	1637				10	Construction & Building Technology; Education, Scientific Disciplines; Engineering, Industrial; Engineering, Civil	Construction & Building Technology; Education & Educational Research; Engineering	BG4ZU	WOS:000389279903013		No			2017-07-26	
J	Healy, LM; Antel, JP				Healy, Luke M.; Antel, Jack P.			Sphingosine-1-Phosphate Receptors in the Central Nervous and Immune Systems	CURRENT DRUG TARGETS			English	Review						FTY720; GPCR; immune-modulators; sphingosine-1-phosphate receptor; lymphopenia; multiple sclerosis	SPHINGOSINE 1-PHOSPHATE RECEPTOR; EXPERIMENTAL AUTOIMMUNE ENCEPHALOMYELITIS; IMMUNOMODULATORY DRUG FTY720; ENDOTHELIAL BARRIER FUNCTION; PROTEIN-COUPLED RECEPTOR; BLOOD-BRAIN-BARRIER; T-CELL SUBSETS; MULTIPLE-SCLEROSIS; LYMPHOCYTE EGRESS; OLIGODENDROCYTE PROGENITORS	Sphingosine-1-phosphate receptor (S1PR) modulators have entered clinical practice as immune-modulators for the treatment of multiple sclerosis (MS). Pharmacologic modulation of S1PR expression on lymphocytes inhibits these cells capacity to respond to the S1P gradient within regional lymph nodes (LNs) (and thymus) that promotes their exit into peripheral circulation. The resultant peripheral blood restricted lymphopenia is considered to underlie the capacity of S1PR modulators to reduce new inflammatory lesion formation in MS in the absence of global immune suppression. These modulators also regulate entry of selective lymphocyte populations and dendritic cells (DCs) into LNs and modulate sphingosine-1-phosphate (S1P) cell signaling networks that govern the generation of specific cell subsets within LNs. S1PR modulators that access the CNS can also have functional effects within this compartment since S1PRs are expressed by cells comprising the blood brain barrier (BBB) and by those within the parenchyma, including neurons, astrocytes, oligodendrocytes and microglia. Absence of S1P1 receptor (S1PR1) on astrocytes reduces disease severity in experimental autoimmune encephalomyelitis (EAE). Even under conditions that inhibit cell responses to the natural ligand, S1PR modulators can continue to induce active signaling responses; such responses may be relevant for promoting neuroprotection and augmenting tissue repair within the CNS.	[Healy, Luke M.; Antel, Jack P.] McGill Univ, Montreal Neurol Inst, Dept Neurol & Neurosurg, Montreal, PQ, Canada	Antel, JP (reprint author), McGill Univ, Neuroimmunol Unit, Montreal Neurol Inst, 3801 Univ St, Montreal, PQ H3A 2B4, Canada.	jack.antel@mcgill.ca						103	2	2	3	3	BENTHAM SCIENCE PUBL LTD	SHARJAH	EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, 1200 BR SHARJAH, U ARAB EMIRATES	1389-4501	1873-5592		CURR DRUG TARGETS	Curr. Drug Targets		2016	17	16					1841	1850		10.2174/1389450116666151001112710		10	Pharmacology & Pharmacy	Pharmacology & Pharmacy	EF5BJ	WOS:000390345400004	26424391	No			2017-07-26	
J	Vernon, NA; Evans, MM; Frissen, I				Vernon, Nicola A.; Evans, M. Max; Frissen, Ilja			The relationship between dimensions of personality and Library Anxiety in graduate students	EDUCATION FOR INFORMATION			English	Article						Library anxiety; personality; psychology; graduate students	INFORMATION-SEEKING; GROUNDED THEORY; PERFECTIONISM	Previous studies indicate that library anxiety is a phenomenon experienced by many university-level students that impedes successful information retrieval, thereby negatively impacting academic performance. This study examines the relationship between library anxiety and personality in graduate students at the master's level. Students from various disciplines in both research and course-based programs were administered the Library Anxiety Scale and the Big Five Inventory. A multiple linear regression was performed to predict library anxiety as a function of the five personality dimensions. The findings showed that Agreeableness and Conscientiousness together explained more than 35% of the variability, while neither Neuroticism nor Extraversion explained any of the variability.	[Vernon, Nicola A.; Evans, M. Max; Frissen, Ilja] McGill Univ, Sch Informat Studies, 3661 Rue Peel, Montreal, PQ H3A 1X1, Canada	Frissen, I (reprint author), McGill Univ, Sch Informat Studies, 3661 Rue Peel, Montreal, PQ H3A 1X1, Canada.	ilja.frissen@mcgill.ca						31	0	0	6	6	IOS PRESS	AMSTERDAM	NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS	0167-8329	1875-8649		EDUC INFORM	Educ. Inform.		2016	32	4					397	410		10.3233/EFI-160083		14	Education & Educational Research; Information Science & Library Science	Education & Educational Research; Information Science & Library Science	EF3UP	WOS:000390250400006		No			2017-07-26	
J	De Gregori, M; Muscoli, C; Schatman, ME; Stallone, T; Intelligente, F; Rondanelli, M; Franceschi, F; Arranz, LI; Lorente-Cebrian, S; Salamone, M; Ilari, S; Belfer, I; Allegri, M				De Gregori, Manuela; Muscoli, Carolina; Schatman, Michael E.; Stallone, Tiziana; Intelligente, Fabio; Rondanelli, Mariangela; Franceschi, Francesco; Arranz, Laura Isabel; Lorente-Cebrian, Silvia; Salamone, Maurizio; Ilari, Sara; Belfer, Inna; Allegri, Massimo			Combining pain therapy with lifestyle: the role of personalized nutrition and nutritional supplements according to the SIMPAR Feed Your Destiny approach	JOURNAL OF PAIN RESEARCH			English	Review						pain; personalized nutrition; nutritional supplements	POLYUNSATURATED FATTY-ACIDS; OPIOID-INDUCED CONSTIPATION; QUALITY-OF-LIFE; EICOSAPENTAENOIC ACID; DOCOSAHEXAENOIC ACID; CARDIOVASCULAR-DISEASE; NEUROPATHIC PAIN; LONG-CHAIN; FISH-OIL; METABOLIC SYNDROME	Recently, attention to the lifestyle of patients has been rapidly increasing in the field of pain therapy, particularly with regard to the role of nutrition in pain development and its management. In this review, we summarize the latest findings on the role of nutrition and nutraceuticals, microbiome, obesity, soy, omega-3 fatty acids, and curcumin supplementation as key elements in modulating the efficacy of analgesic treatments, including opioids. These main topics were addressed during the first edition of the Study In Multidisciplinary Pain Research workshop: "FYD (Feed Your Destiny): Fighting Pain", held on April 7, 2016, in Rome, Italy, which was sponsored by a grant from the Italian Ministry of Instruction on "Nutraceuticals and Innovative Pharmacology". The take-home message of this workshop was the recognition that patients with chronic pain should undergo nutritional assessment and counseling, which should be initiated at the onset of treatment. Some foods and supplements used in personalized treatment will likely improve clinical outcomes of analgesic therapy and result in considerable improvement of patient compliance and quality of life. From our current perspective, the potential benefit of including nutrition in personalizing pain medicine is formidable and highly promising.	[De Gregori, Manuela] Fdn IRCCS Policlin San Matteo, Pain Therapy Serv, Viale Golgi 19, I-27100 Pavia, Italy; [De Gregori, Manuela; Muscoli, Carolina; Schatman, Michael E.; Stallone, Tiziana; Intelligente, Fabio; Rondanelli, Mariangela; Franceschi, Francesco; Arranz, Laura Isabel; Lorente-Cebrian, Silvia; Salamone, Maurizio; Ilari, Sara; Belfer, Inna; Allegri, Massimo] Study Multidisciplinary Pain Res Grp, Parma, Italy; [De Gregori, Manuela] Young Pain Grp, Parma, Italy; [Muscoli, Carolina] Magna Graecia Univ Catanzaro, Inst Res Food Safety & Hlth, Dept Hlth Sci, Parma, Italy; [Muscoli, Carolina; Ilari, Sara] IRCCS San Raffaele Pisana, Roccelletta Borgia, Catanzaro, Italy; [Schatman, Michael E.] US Pain Fdn, Bellevue, WA USA; [Stallone, Tiziana] ENPAB, Rome, Italy; [Intelligente, Fabio] IRCCS Humanitas Res Hosp, Chron Pain Serv Anestesia Day Surg, Rozzano, Italy; [Rondanelli, Mariangela] Univ Pavia, Azienda Serv Persona Pavia, Sect Human Nutr & Dietet, Dept Publ Hlth, Pavia, Italy; [Franceschi, Francesco] Univ Cattolica Sacro Cuore, Inst Internal Med, Rome, Italy; [Arranz, Laura Isabel] Univ Barcelona, Dept Nutr Food Sci & Gastron, Barcelona, Spain; [Lorente-Cebrian, Silvia] Univ Navarra, Ctr Nutr Res, Dept Nutr Food Sci & Physiol, Pamplona, Spain; [Salamone, Maurizio] Metagen Italia Srl, Milan, Italy; [Salamone, Maurizio] Italian Lifestyle Med Assoc, Bari, Italy; [Belfer, Inna] McGill Univ, Fac Dent, Montreal, PQ, Canada; [Allegri, Massimo] Univ Parma, Dept Surg Sci, Parma, Italy; [Allegri, Massimo] Univ Parma, Azienda Osped, Anesthesia Intens Care & Pain Therapy Serv, Parma, Italy	De Gregori, M (reprint author), Fdn IRCCS Policlin San Matteo, Pain Therapy Serv, Viale Golgi 19, I-27100 Pavia, Italy.	manuela.degregori@unipv.it		ilari, sara/0000-0002-6756-6530	Italian Ministry of Instruction [PON03PE_00078_1, PON03PE_00078_2]; European Commission [602736]; Italian Ministry of Health [GR-2010-2318370]	This work was supported by Grants from Italian Ministry of Instruction (PON03PE_00078_1, PON03PE_00078_2), European Commission (FP7 Collaborative Project Pain-OMICS; grant agreement number: 602736), and Italian Ministry of Health (project code: GR-2010-2318370).		145	0	0	3	3	DOVE MEDICAL PRESS LTD	ALBANY	PO BOX 300-008, ALBANY, AUCKLAND 0752, NEW ZEALAND	1178-7090			J PAIN RES	J. Pain Res.		2016	9						1179	1189		10.2147/JPR.S115068		11	Clinical Neurology	Neurosciences & Neurology	EE7YN	WOS:000389841500001	27994480	gold			2017-07-26	
J	Avila, EG; Yu, W; Saad, M; Ghommam, J			IEEE	Garcia Avila, Edgar; Yu, Wen; Saad, Maarouf; Ghommam, Jawhar			Stable PID Tracking Control with Application to a 7-DoF Exoskeleton Robot	2016 13TH INTERNATIONAL CONFERENCE ON ELECTRICAL ENGINEERING, COMPUTING SCIENCE AND AUTOMATIC CONTROL (CCE)			English	Proceedings Paper	13th International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)	SEP 26-30, 2016	Mexico City, MEXICO	IEEE, Electron Devices Soc, Cinvestav, ANOSIPN, ANOSESIME, Inst Politecnico Nacl, upiita ipn, CCE, Cinvestav IPN, Automat Control Dept, IPN, ESIME, Cinvestav IPN, Comp Sci Dept, Cinvestav IPN, Elect Engn Dept			ROBUST ADAPTIVE-CONTROL; UPPER-LIMB; MANIPULATORS; REHABILITATION; NETWORKS; DESIGN; STROKE; SYSTEM	In this paper, we extend the popular PID regulation control into PID tracking control by using a filtered error and modifying the reference signal. In order to decrease the gains of PID controller, a neural compensator is enclosed. The global and semiglobal asymptotic stability of this PID tracking control with neural compensation are proposed. The proposed PID tracking control is validated with the upper limb exoskeleton of 'Ecole de Technologie Sup'erieure (ETS).	[Garcia Avila, Edgar; Yu, Wen] CINVESTAV IPN, Dept Control Automat, Mexico City, DF, Mexico; [Saad, Maarouf; Ghommam, Jawhar] Ecole Technol Super, Dept Elect Engn, Montreal, PQ, Canada	Yu, W (reprint author), CINVESTAV IPN, Dept Control Automat, Mexico City, DF, Mexico.	yuw@ctrl.cinvestav.mx; Maarouf.Saad@etsmtl.ca						29	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-3511-3				2016												6	Automation & Control Systems; Engineering, Electrical & Electronic	Automation & Control Systems; Engineering	BG5QL	WOS:000389680400002		No			2017-07-26	
S	Laurent, C; Pereyra, G; Brakel, P; Zhang, Y; Bengio, Y			IEEE	Laurent, Cesar; Pereyra, Gabriel; Brakel, Philemon; Zhang, Ying; Bengio, Yoshua			BATCH NORMALIZED RECURRENT NEURAL NETWORKS	2016 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH AND SIGNAL PROCESSING PROCEEDINGS	International Conference on Acoustics Speech and Signal Processing ICASSP		English	Proceedings Paper	IEEE International Conference on Acoustics, Speech, and Signal Processing	MAR 20-25, 2016	Shanghai, PEOPLES R CHINA	Inst Elect & Elect Engineers, Inst Elect & Elect Engineers Signal Proc Soc		batch normalization; RNN; LSTM; optimization		Recurrent Neural Networks (RNNs) are powerful models for sequential data that have the potential to learn long-term dependencies. However, they are computationally expensive to train and difficult to parallelize. Recent work has shown that normalizing intermediate representations of neural networks can significantly improve convergence rates in feed-forward neural networks [1]. In particular, batch normalization, which uses mini-batch statistics to standardize features, was shown to significantly reduce training time. In this paper, we investigate how batch normalization can be applied to RNNs. We show for both a speech recognition task and language modeling that the way we apply batch normalization leads to a faster convergence of the training criterion but doesn't seem to improve the generalization performance.	[Laurent, Cesar; Brakel, Philemon; Zhang, Ying; Bengio, Yoshua] Univ Montreal, Montreal, PQ H3C 3J7, Canada; [Pereyra, Gabriel] Univ Southern Calif, Los Angeles, CA 90089 USA	Laurent, C (reprint author), Univ Montreal, Montreal, PQ H3C 3J7, Canada.							23	0	0	1	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1520-6149		978-1-4799-9988-0	INT CONF ACOUST SPEE			2016							2657	2661				5	Acoustics; Engineering, Electrical & Electronic	Acoustics; Engineering	BG3XQ	WOS:000388373402160		No			2017-07-26	
S	Bandanau, D; Chorowski, J; Serdyuk, D; Brakel, P; Bengio, Y			IEEE	Bandanau, Dzmitry; Chorowski, Jan; Serdyuk, Dmitriy; Brakel, Philemon; Bengio, Yoshua			END-TO-END ATTENTION-BASED LARGE VOCABULARY SPEECH RECOGNITION	2016 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH AND SIGNAL PROCESSING PROCEEDINGS	International Conference on Acoustics Speech and Signal Processing ICASSP		English	Proceedings Paper	IEEE International Conference on Acoustics, Speech, and Signal Processing	MAR 20-25, 2016	Shanghai, PEOPLES R CHINA	Inst Elect & Elect Engineers, Inst Elect & Elect Engineers Signal Proc Soc		neural networks; LVCSR; attention; speech recognition; ASR		Many state-of-the-art Large Vocabulary Continuous Speech Recognition (LVCSR) Systems are hybrids of neural networks and Hidden Markov Models (HMMs). Recently, more direct end-to-end methods have been investigated, in which neural architectures were trained to model sequences of characters [1, 2]. To our knowledge, all these approaches relied on Connectionist Temporal Classification [3] modules. We investigate an alternative method for sequence modelling based on an attention mechanism that allows a Recurrent Neural Network (RNN) to learn alignments between sequences of input frames and output labels. We show how this setup can be applied to LVCSR by integrating the decoding RNN with an n-gram language model and by speeding up its operation by constraining selections made by the attention mechanism and by reducing the source sequence lengths by pooling information over time. Recognition accuracies similar to other HMM-freeRNN-based approaches are reported for the Wall Street Journal corpus.	[Bandanau, Dzmitry; Serdyuk, Dmitriy; Brakel, Philemon; Bengio, Yoshua] Univ Montreal, Montreal, PQ H3C 3J7, Canada; [Chorowski, Jan] Univ Wroclaw, PL-50138 Wroclaw, Poland	Bandanau, D (reprint author), Univ Montreal, Montreal, PQ H3C 3J7, Canada.							28	0	0	2	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1520-6149		978-1-4799-9988-0	INT CONF ACOUST SPEE			2016							4945	4949				5	Acoustics; Engineering, Electrical & Electronic	Acoustics; Engineering	BG3XQ	WOS:000388373405019		No			2017-07-26	
S	Sarria-Paja, M; Senoussaoui, M; O'Shaughnessy, D; Falk, TH			IEEE	Sarria-Paja, Milton; Senoussaoui, Mohammed; O'Shaughnessy, Douglas; Falk, Tiago H.			FEATURE MAPPING, SCORE-, AND FEATURE-LEVEL FUSION FOR IMPROVED NORMAL AND WHISPERED SPEECH SPEAKER VERIFICATION	2016 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH AND SIGNAL PROCESSING PROCEEDINGS	International Conference on Acoustics Speech and Signal Processing ICASSP		English	Proceedings Paper	IEEE International Conference on Acoustics, Speech, and Signal Processing	MAR 20-25, 2016	Shanghai, PEOPLES R CHINA	Inst Elect & Elect Engineers, Inst Elect & Elect Engineers Signal Proc Soc		Whispered speech; AM-FM model; i-vectors; speaker verification; system fusion; feature mapping	VOICE CONVERSION; NEURAL-NETWORKS; AUDIO STREAMS; IDENTIFICATION; RECOGNITION	In this paper, automatic speaker verification using normal and whispered speech is explored. Typically, for speaker verification systems with varying vocal effort inputs, standard solutions such as feature mapping or addition of data during parameter estimation (training) and enrollment stages result in a trade-off between accuracy gains with whispered test data and accuracy losses (up to 70% in equal error rate, EER) with normal test data. To overcome this shortcoming, this paper proposes two innovations. First, we show the complementarity of features derived from AM-FM models over conventional mel-frequency cepstral coefficients, thus signalling the importance of instantaneous phase information for whispered speech speaker verification. Next, two fusion schemes are explored: score-and feature-level fusion. Overall, we show that gains as high as 30% and 84% in EER can be achieved for normal and whispered speech, respectively, using feature-level fusion.	[Sarria-Paja, Milton; Senoussaoui, Mohammed; O'Shaughnessy, Douglas; Falk, Tiago H.] Univ Quebec, Inst Natl Rech Sci INRS EMT, Montreal, PQ, Canada	Sarria-Paja, M (reprint author), Univ Quebec, Inst Natl Rech Sci INRS EMT, Montreal, PQ, Canada.			Falk, Tiago/0000-0002-5739-2514				26	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1520-6149		978-1-4799-9988-0	INT CONF ACOUST SPEE			2016							5480	5484				5	Acoustics; Engineering, Electrical & Electronic	Acoustics; Engineering	BG3XQ	WOS:000388373405126		No			2017-07-26	
S	Resseguier, B; Leger, PM; Senecal, S; Bastarache-Roberge, MC; Courtemanche, F		Nah, FFH; Tan, CH		Resseguier, Beverly; Leger, Pierre-Majorique; Senecal, Sylvain; Bastarache-Roberge, Marie-Christine; Courtemanche, Fracois			The Influence of Personality on Users' Emotional Reactions	HCI IN BUSINESS, GOVERNMENT, AND ORGANIZATIONS: INFORMATION SYSTEMS, HCIBGO 2016, PT II	Lecture Notes in Computer Science		English	Proceedings Paper	3rd International Conference on HCI in Business, Government, and Organizations - Information Systems (HCIBGO) Held as Part of 18th International Conference on Human-Computer Interaction (HCI International)	JUL 17-22, 2016	Toronto, CANADA			Personality; Facial expression; Emotion; Idiosyncrasies; User experience	PERFORMANCE; EXPRESSION	In order to develop an accurate and robust neuroadaptive model based on users' idiosyncrasies, the interface needs to use personal information. In this article, we explore the extent to which automatic facial analysis can inform on users' idiosyncrasies. Facial emotion from 88 university students playing an emotionally charged video game was used to explore the relationship between personality trait and facial emotion in human-computer interaction context. We observed multiple statistically significant correlations between users' personality dimensions and their emotions. One personality dimension was mostly related to emotions: emotionality. This paper contributes to the HCI literature by underlining the importance of taking into account users' personality traits in analyzing their emotional reactions to interfaces. Neuroadaptive interfaces using emotional reactions would perform better by also controlling for personality traits of their users and enhance user experience.	[Resseguier, Beverly] Univ Montreal, Dept Psychol, Vincent dIndy Ave, Montreal, PQ, Canada; [Leger, Pierre-Majorique] HEC Montreal, Dept Informat Technol, Cote St Catherine Rd, Montreal, PQ, Canada; [Senecal, Sylvain] HEC Montreal, Dept Mkt, Cote St Catherine Rd, Montreal, PQ, Canada; [Bastarache-Roberge, Marie-Christine; Courtemanche, Fracois] HEC Montreal, Tech3lab, Louis Colin Blvd, Montreal, PQ, Canada	Resseguier, B (reprint author), Univ Montreal, Dept Psychol, Vincent dIndy Ave, Montreal, PQ, Canada.	beverly.resseguier@umontreal.ca; pml@hec.ca; ss@hec.ca; marie-christine.bastarache-roberge@hec.ca; francois.courtemanche@hec.ca						29	0	0	0	0	SPRINGER INT PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	0302-9743		978-3-319-39398-8; 978-3-319-39399-5	LECT NOTES COMPUT SC			2016	9752						91	98		10.1007/978-3-319-39399-5_9		8	Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Social Sciences, Interdisciplinary	Computer Science; Social Sciences - Other Topics	BG5YJ	WOS:000389807900009		No			2017-07-26	
S	Carmona-Duarte, C; Plamondon, R; Gomez-Vilda, P; Ferrer, MA; Alonso, JB; Londral, ARM		Chen, YW; Tanaka, S; Howlett, RJ; Jain, LC		Carmona-Duarte, Cristina; Plamondon, Rejean; Gomez-Vilda, Pedro; Ferrer, Miguel A.; Alonso, Jesus B.; Londral, Ana Rita M.			Application of the Lognormal Model to the Vocal Tract Movement to Detect Neurological Diseases in Voice	INNOVATION IN MEDICINE AND HEALTHCARE 2016	Smart Innovation Systems and Technologies		English	Proceedings Paper	4th KES International Conference on Innovation in Medicine and Healthcare (InMed)	JUN 15-17, 2016	Tenerife, SPAIN	KES Int		Sigma-lognormal; Formant; Kinematic; Articulation; Parkinson; ALS	AMYOTROPHIC-LATERAL-SCLEROSIS; PARKINSONS-DISEASE; KINEMATIC THEORY; REPRESENTATION; SPEECH; GENERATION; HEALTHY; VOWELS	In this paper a novel method to evaluate the quality of the voice signal is presented. Our novel hypothesis is that the first and second formants allow the estimation of the jaw-tongue dynamics. Once the velocity is computed, it is approximated by the Sigma-Lognormal model whose parameters enable to distinguish between normal and pathological voices. Three types of pathologies are used to test the method: Laryngeal Diseases, Parkinson and Amyotrophic Lateral Sclerosis. Preliminary results show that the novel features proposed are able to distinguish between parameters of normal and pathological voice. Moreover, it is also possible to discriminate between the three types of pathologies studied in this work.	[Carmona-Duarte, Cristina; Ferrer, Miguel A.; Alonso, Jesus B.] Univ Las Palmas Gran Canaria, Inst Univ Desarrollo Tecnol & Innovac Comunicac, Las Palmas Gran Canaria, Spain; [Plamondon, Rejean] Ecole Polytech, Dept Genie Elect, Lab Scribens, Montreal, PQ, Canada; [Gomez-Vilda, Pedro] Univ Politecn Madrid, Fac Informat, Campus Montegancedo S-N, E-28660 Madrid, Spain; [Londral, Ana Rita M.] Univ Lisbon, Inst Mol Med, Translat Clin Physiol Unit, Lisbon, Portugal	Carmona-Duarte, C (reprint author), Univ Las Palmas Gran Canaria, Inst Univ Desarrollo Tecnol & Innovac Comunicac, Las Palmas Gran Canaria, Spain.	ccarmona@idetic.eu; rejean.plamondon@polymtl.ca; pedro@fi.upm.es; mferrer@idetic.eu; jalonso@idetic.eu		Carmona-Duarte, Cristina/0000-0002-4441-6652				28	0	0	0	1	SPRINGER INT PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	2190-3018		978-3-319-39687-3; 978-3-319-39686-6	SMART INNOV SYST TEC			2016	60						25	35		10.1007/978-3-319-39687-3_3		11	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Engineering, Biomedical	Computer Science; Engineering	BG5YE	WOS:000389807400003		No			2017-07-26	
