PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Chertkow, H; Black, S				Chertkow, Howard; Black, Sandra			Imaging biomarkers and their role in dementia clinical trials	CANADIAN JOURNAL OF NEUROLOGICAL SCIENCES			English	Article; Proceedings Paper	2nd Canadian Conference on Antidementia Drug Guidelines	OCT 28-29, 2004	Montreal, CANADA				MILD COGNITIVE IMPAIRMENT; POSITRON-EMISSION-TOMOGRAPHY; EARLY ALZHEIMERS-DISEASE; CEREBRAL BLOOD-FLOW; ISCHEMIC VASCULAR-DISEASE; TEMPORAL-LOBE ATROPHY; HIPPOCAMPAL ATROPHY; GLUCOSE-METABOLISM; BRAIN METABOLISM; EPSILON-4 ALLELE	There are five potential major roles for neuroimaging with respect to dementia; 1) as a cognitive neuroscience research tool, 2) for prediction of which normal or slightly impaired individuals will develop dementia and over what time frame, 3) for early diagnosis of Alzheimer's disease (AD) in demented individuals, (sensitivity) and separation of AD from other forms of dementia (specificity), 4) for monitoring of disease progression, and 5) for monitoring response to therapies. Focusing on the last role, no single imaging approach is yet ideal, as all trade-off speed, cost, and accuracy. Functional imaging (SPECT and PET) is best suited to tracking symptomatic therapy response, and anatomic (MRI volumetric) imaging or amyloid PET are more suited to reflect dementia modulation studies. The potential for imaging with respect to pharmacological studies of dementia - to provide surrogate markers for drug studies, to improve diagnosis, to speed evaluation of outcomes, and to decrease sample sizes is huge. At the present time, however, no single measure has sufficient proven reliability, replicability, or robustness, to replace clinical primary outcome measures.	McGill Univ, Dept Neurol, Montreal, PQ H3A 2T5, Canada; Sir Mortimer B Davis Jewish Hosp, Dept Clin Neurosci, Toronto, ON, Canada; Sir Mortimer B Davis Jewish Hosp, Dept Geriatr Med, Toronto, ON, Canada	Chertkow, H (reprint author), Lady Davis Inst, Bloomfield Ctr, Room 408,3755 Cote St,Catherine Rd, Montreal, PQ H3T 1E2, Canada.							96	18	19	1	4	CANADIAN J NEUROL SCI INC	CALGARY	PO BOX 4220, STATION C EDITORIAL & SUBSCRIPTION SERV, CALGARY, AB T2T 5N1, CANADA	0317-1671			CAN J NEUROL SCI	Can. J. Neurol. Sci.	MAR	2007	34			1			S77	S83				7	Clinical Neurology	Neurosciences & Neurology	156EY	WOS:000245632100016	17469688	No			2017-07-26	
J	Bifsha, P; Landry, K; Ashmarina, L; Durand, S; Seyrantepe, V; Trudel, S; Quiniou, C; Chemtob, S; Xu, Y; Gravel, RA; Sladek, R; Pshezhetsky, AV				Bifsha, P.; Landry, K.; Ashmarina, L.; Durand, S.; Seyrantepe, V.; Trudel, S.; Quiniou, C.; Chemtob, S.; Xu, Y.; Gravel, R. A.; Sladek, R.; Pshezhetsky, A. V.			Altered gene expression in cells from patients with lysosomal storage disorders suggests impairment of the ubiquitin pathway	CELL DEATH AND DIFFERENTIATION			English	Article						apoptosis; lysosomal storage disorders; proteosome; RNA arrays; Sandhoff disease; ubiquitin C; terminal hydrolase	CARBOXYL-TERMINAL HYDROLASE; HUMAN TAY-SACHS; PARKINSONS-DISEASE; SANDHOFF-DISEASES; MOUSE MODELS; GAD MICE; APOPTOSIS; NEURODEGENERATION; FIBROBLASTS; UCH-L1	By comparing mRNA profiles in cultured fibroblasts from patients affected with lysosomal storage diseases, we identified differentially expressed genes common to these conditions. These studies, confirmed by biochemical experiments, demonstrated that lysosomal storage is associated with downregulation of ubiquitin C-terminal hydrolase, UCH-L1 in the cells of eight different lysosomal disorders, as well as in the brain of a mouse model of Sandhoff disease. Induction of lysosomal storage by the cysteine protease inhibitor E-64 also reduced UCH-L1 mRNA, protein level and activity. All cells exhibiting lysosomal storage contained ubiquitinated protein aggregates and showed reduced levels of free ubiquitin and decreased proteasome activity. The caspase- mediated apoptosis in E-64-treated fibroblasts was reversed by transfection with a UCH-L1 plasmid, and increased after downregulation of UCH-L1 by siRNA, suggesting that UCH-L1 deficiency and impairment of the ubiquitin-dependent protein degradation pathway can contribute to the increased cell death observed in many lysosomal storage disorders.	St Justine Hosp, Montreal, PQ, Canada; Univ Montreal, Dept Pediat, Montreal, PQ H3C 3J7, Canada; Univ Montreal, Dept Biochem, Montreal, PQ H3C 3J7, Canada; Univ Calgary, Dept Biochem & Mol Biol, Calgary, AB, Canada; McGill Univ, Dept Genet, Montreal, PQ, Canada; Genome Quebec Innovat Ctr, Montreal, PQ, Canada	Pshezhetsky, AV (reprint author), Hop St Justine, Serv Genet Med, 3175 Cote St Catherine, Montreal, PQ H3T 1C5, Canada.	alexei.pchejetski@umontreal.ca		A, Pshezhetsky/0000-0002-6612-1062; Sladek, Robert/0000-0002-2730-1204				42	32	32	1	8	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1350-9047			CELL DEATH DIFFER	Cell Death Differ.	MAR	2007	14	3					511	523		10.1038/sj.cdd.4402013		13	Biochemistry & Molecular Biology; Cell Biology	Biochemistry & Molecular Biology; Cell Biology	137EI	WOS:000244275400014	16888648	No			2017-07-26	
J	Sinderby, C; Beck, J; Spahija, J; de Marchie, M; Lacroix, J; Navalesi, P; Slutsky, AS				Sinderby, Christer; Beck, Jennifer; Spahija, Jadranka; de Marchie, Michel; Lacroix, Jacques; Navalesi, Paolo; Slutsky, Arthur S.			Inspiratory muscle unloading by neurally adjusted ventilatory assist during maximal inspiratory efforts in healthy subjects	CHEST			English	Article						control of breathing; diaphragm electrical activity; inspiratory capacity; mechanical ventilation; patient ventilator interaction; respiratory muscle unloading	DIAPHRAGM EMG; ACTIVATION; VOLUMES; DISEASE; INJURY	Background: Neurally adjusted ventilator), assist (NAVA) is a mode of mechanical ventilation in which the ventilator is controlled by the electrical activity of the diaphragm (EAdi). During maximal inspirations, the pressure delivered can theoretically reach extreme levels that may cause harm to the lungs. The aims of this study were to evaluate whether NAVA could efficiently unload the respiratory muscles during maximal inspiratory efforts, and if a high level of NAVA would suppress EAdi without increasing lung-distending pressures. Method: In awake healthy subjects (n = 9), NAVA was applied at increasing levels in a stepwise fashion during quiet breathing and maximal inspirations. EAdi and airway pressure (Paw), esophageal pressure (Pes), and gastric pressure, flow, and volume were measured. Results: During maximal inspirations with a high NAVA level, peak Paw was 37.1 +/- 11.0 cm H2O (mean +/- SD). This reduced Pes deflections from - 14.2 +/- 2.7 to 2.3 +/- 2.3 cm H2O (P < 0.001) and EAdi to 43 +/- 7% (p < 0.001), compared to maximal inspirations with no assist. At high NAVA levels, inspiratory capacity showed a modest increase of 11 +/- 11% (p = 0.024). Conclusion: In healthy subjects, NAVA can safely and efficiently unload the respiratory muscles during maximal inspiratory maneuvers, without failing to cycle-off ventilatory assist and without causing excessive lung distention. Despite maximal unloading of the diaphragm at high levels of NAVA, EAdi is still present and able to control the ventilator.	Univ Toronto, St Michaels Hosp, Dept Crit Care, Dept Med, Toronto, ON M5B 1W8, Canada; Univ Toronto, Dept Pediat, Dept Newborn & Dev Pediat, Sunnybrook Hlth Sci Ctr, Toronto, ON, Canada; Univ Montreal, Dept Med, Hop Sacre Coeur, Res Ctr, Montreal, PQ H3C 3J7, Canada; McGill Univ, Sir Mortimer B Davis Jewish Hosp, Montreal, PQ, Canada; Univ Montreal, Hop St Justine, Res Ctr, Pediat Intens Care Unit,Dept Pediat, Montreal, PQ H3T 1C5, Canada; Fdn S Maugeri, Pulm Rehabil & Resp Intens Care Unit, Pavia, Italy	Sinderby, C (reprint author), Univ Toronto, St Michaels Hosp, Dept Crit Care, Dept Med, 30 Bond St,Queen 4-072, Toronto, ON M5B 1W8, Canada.	sinderby@rogers.com	Slutsky, Arthur/A-6013-2008; Navalesi, Paolo/F-9559-2010	Slutsky, Arthur/0000-0002-6063-3876; Navalesi, Paolo/0000-0002-3733-3453				18	86	99	0	10	AMER COLL CHEST PHYSICIANS	NORTHBROOK	3300 DUNDEE ROAD, NORTHBROOK, IL 60062-2348 USA	0012-3692			CHEST	Chest	MAR	2007	131	3					711	717		10.1378/chest.06-1909		7	Critical Care Medicine; Respiratory System	General & Internal Medicine; Respiratory System	148KI	WOS:000245072900015	17356084	No			2017-07-26	
J	Bensafi, M; Frasnelli, J; Reden, J; Hummel, T				Bensafi, M.; Frasnelli, J.; Reden, J.; Hummel, T.			The neural representation of odor is modulated by the presence of a trigeminal stimulus during odor encoding	CLINICAL NEUROPHYSIOLOGY			English	Article						olfaction; trigeminal; context; EEG; evoked potentials	EVENT-RELATED POTENTIALS; HUMAN OLFACTORY CORTEX; EMOTIONAL RESPONSES; INDUCED ACTIVATION; NASAL-MUCOSA; HUMANS; MIXTURES; STIMULATION; BRAIN; PERCEPTION	Objectives: Odor perception does not simply consist in hierarchical processing from transduction to a single "true" cerebral representation. Odor sensation may be modulated by available sensory information during encoding. The present study set out to examine whether the presence of a pure trigeminal stimulus during odor encoding may modulate odor perception at both behavioral and cortical levels. Methods: Participants were tested in a 2-session within-subject design: first, an odor encoding session included a delay conditioning procedure in which relatively selective olfactory stimulants (phenyl ethyl alcohol or vanillin, Conditioned Stimulus+, CS+) were presented either with a pulse Of CO2 (Unconditioned Stimulus, US), or alone (Conditioned Stimulus-, CS-); then, in the second session, both pure odorants (CS+ and CS-) were presented alone. During this second session, olfactory event-related potentials were simultaneously recorded and analyzed at different electrode sites including Cz and Pz (sites known to have maximal amplitudes for trigeminal and olfactory stimuli, respectively). After each trial, subjects were asked to rate odor intensity and hedonics. Results: The results showed that CS+ intensity ratings increased in 8 subjects and decreased in 6. Cortically, a group effect was observed for P2 amplitude, which increased in the "CS+ intensity increase" group vs. the "CS+ intensity decrease" group at Cz (p < 0.05) but not at Pz (p > 0.05). Conclusions: This result suggests that the presence of a pure trigeminal Stimulus (CO2) during odor encoding alters the neural representation of a pure odor. Significance: The neural representation of odors comprises not only the odor itself but also contextual information (trigeminal in the present case) presented during encoding. (c) 2006 International Federation of Clinical Neurophysiology. Published by Elsevier Ireland Ltd. All rights reserved.	Univ Lyon 1, CNRS UMR 5020, Lab Neurosci & Syst Sensoriels, F-69366 Lyon 07, France; Tech Univ Dresden, Dept Otorhinolaryngol, Smell & Taste Clin, D-8027 Dresden, Germany; McGill Univ, Montreal Neurol Inst, Cognit Neurosci Unit, Montreal, PQ H3A 2T5, Canada; Inst Federatif Neurosci Lyon, CNRS, IFR19, Lyon, France	Bensafi, M (reprint author), Univ Lyon 1, CNRS UMR 5020, Lab Neurosci & Syst Sensoriels, 50 Ave Tony Garnier, F-69366 Lyon 07, France.	bensafi@olfac.univ-lyon1.fr	Bensafi, Moustafa/H-6618-2017	Bensafi, Moustafa/0000-0002-2991-3036				56	18	18	2	8	ELSEVIER IRELAND LTD	CLARE	ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000, IRELAND	1388-2457			CLIN NEUROPHYSIOL	Clin. Neurophysiol.	MAR	2007	118	3					696	701		10.1016/j.clinph.2006.10.022		6	Clinical Neurology; Neurosciences	Neurosciences & Neurology	144CJ	WOS:000244772600020	17208517	No			2017-07-26	
J	Miksys, S; Mann, A; Lee, AM; Palmour, R; Mash, DC; Tyndale, RF				Miksys, S.; Mann, A.; Lee, A. M.; Palmour, R.; Mash, D. C.; Tyndale, R. F.			Brain CYP2D6 is induced in monkeys by in vivo nicotine and is higher in human smokers: A role in interindwidual variation?	CLINICAL PHARMACOLOGY & THERAPEUTICS			English	Meeting Abstract	Annual Meeting of American-Society-for-Clinical-Pharmacology-and-Therapeutics	MAR 21-24, 2007	Anaheim, CA	Amer Soc Clin Pharmacol & Therapeut					Univ Toronto, Ctr Addict & Mental Hlth, Toronto, ON, Canada; McGill Univ, Ctr Addict & Mental Hlth, Montreal, PQ H3A 2T5, Canada; Miami Univ, Ctr Addict & Mental Hlth, Oxford, OH 45056 USA								0	0	0	0	1	NATURE PUBLISHING GROUP	NEW YORK	75 VARICK STREET, 9TH FLOOR, NEW YORK, NY 10013-1917 USA	0009-9236			CLIN PHARMACOL THER	Clin. Pharmacol. Ther.	MAR	2007	81			1			S8	S8				1	Pharmacology & Pharmacy	Pharmacology & Pharmacy	144FW	WOS:000244782900021		No			2017-07-26	
J	Muller, HFJ				Muller, Herbert F. J.			Epistemology Returns to Its Roots	CONSTRUCTIVIST FOUNDATIONS			English	Article						Subject-inclusiveness; cybernetics; back-up function		Purpose: Understanding the place of Ernst von Glasersfeld's Radical Constructivism (RC), and some of its implications, in the development of epistemology. Design: Characterization of two main options for the content of "knowledge" (without and with belief in mind-independent structures), sketch of their history in occidental thought; comparison of their properties concerning subjectivity, objectivity, second-order cybernetics, reliability of mental tools, and the needs and mechanisms for certainty and overall structures. Results: Awareness that we structure mental working tools can, as RC suggests, replace belief in mind-independent reality, and this change dissolves the conceptual problem of metaphysics-ontology, but also eliminates the certainty expected from it, which raises the possibility of relativism. Working-concepts cannot be deconstructed because they imply no ontological claims. Subject(s) are necessarily included in all knowledge ( which does not mean solipsism): because subjective experience encompasses all mental tools, including those of objectivity and mathematics, while in contrast the subject itself cannot become an objective system. Practical reliability of mental tools differs from subjective certainty, which requires an ontological leap of faith to positive beliefs: for specific tools including automata, and for positive holistic structures. However, in agreement with the constructivist view, holistic views can instead have an unstructured center, with reliability = viability, which prevents relativism. In sum, belief in mid-independent reality is needed for certainty if desired; for all other purposes constructivism is more helpful. Implications: The change in view suggested by von Glasersfeld's work is of relevance for a number of fields of study with conceptual problems ( such as the mind-brain relation). However, due to their generality, the implications will need evaluation in specific instances. The question of certainty needs attention for practical reasons.	McGill Univ, Montreal, PQ, Canada	Muller, HFJ (reprint author), McGill Univ, Montreal, PQ, Canada.	herbert.muller@mcgill.ca						19	2	2	0	0	ALEXANDER RIEGLER	BRUSSELS	CENTER LEO APOSTEL INTERDISCIPLINARY STUDIES, VRIJE UNIVERSITEIT BRUSSEL, KRIJGSKUNDESTRAAT 33, BRUSSELS, B-1160, BELGIUM	1782-348X			CONSTR FOUND	Constr. Found.	MAR	2007	2	2-3					72	80				9	Philosophy	Philosophy	V10ER	WOS:000207447800014		No			2017-07-26	
J	Chouinard, S; Stip, E; Poulin, J; Melun, JP; Godbout, R; Guillem, F; Cohen, H				Chouinard, Sylvie; Stip, Emmanuel; Poulin, Julie; Melun, Jean-Pierre; Godbout, Roger; Guillem, Francois; Cohen, Henri			Rivastigmine treatment as an add-on to antipsychotics in patients with schizophrenia and cognitive deficits	CURRENT MEDICAL RESEARCH AND OPINION			English	Article						acetylcholinesterase inhibitors; cognition; rivastigmine; schizophrenia	QUALITY-OF-LIFE; DOUBLE-BLIND; NEUROPSYCHOLOGICAL CHANGE; REHABILITATION PROGRAM; ADJUNCTIVE DONEPEZIL; ALZHEIMERS-DISEASE; RISPERIDONE; OLANZAPINE; MEMORY; TRIAL	Objective: Although new atypical antipsychotic agents have been found to improve overall cognitive function in patients with schizophrenia (SZ), some aspects of memory, attention and executive functions still remain impaired. Acetylcholinesterase (AChE) inhibitors, such as rivastigmine, have been shown to improve cognition in other disorders, particularly Alzheimer's disease. Dysfunctions in cholinergic systems, especially in the prefrontal cortex, have been identified in SZ, suggesting that cholinesterase inhibitors may be effective in treating cognitive deficits in this disease. Research design and methods: Using a randomized crossover design, we assessed SZ patients with stable symptoms and poor cognitive functioning. Fifty-eight patients with memory deficits, according to subjective complaints or based on clinicians' observations, were assessed with the Repeatable Battery for the Assessment of Neuropsychological Status (RBANS) and Subjective Scale to Investigate Cognition in Schizophrenia (SSTICS). Only 24 of these subjects met the inclusion criteria. Twenty patients took part in the study (four dropped out). All subjects meeting the Diagnostic and Statistical Manual of Mental Disorders, fourth edition (DSM-IV) criteria for SZ were maintained on their current antipsychotic medication (18 atypicals and two typicals) and were randomly assigned to treatment with rivastigmine. Dosage was a function of tolerability, beginning at 3 mg/day and progressively increasing to 9 mg/day. Subjects were given the Cambridge Neuropsychological Test Automated Battery (CANTAB) at baseline and 3 and 6 months. Results: The results revealed no significant improvement in any of the cognitive variables investigated following rivastigmine treatment and symptom severity scores remained unchanged over all recorded time periods. Conclusion: Rivastigmine treatment did not appear to enhance cognition in SZ patients with important cognitive impairments. This finding needs to be interpreted with care and requires substantiation with larger sample size studies with patients treated with cognitive enhancer for longer periods.	Hop Louis Hippolyte Lafontaine, Ctr Rech Fernand Seguin, Dept Psychiat, Montreal, PQ H1N 3V2, Canada; Univ Montreal, Dept Psychiat, Montreal, PQ H3C 3J7, Canada; Charles LeMoyne Hosp, Dept Psychiat, Greenfield Pk, PQ, Canada; Univ Quebec, Ctr Cognit Neurosci, Montreal, PQ H3C 3P8, Canada	Stip, E (reprint author), Hop Louis Hippolyte Lafontaine, Ctr Rech Fernand Seguin, Dept Psychiat, 7331 Hochelaga, Montreal, PQ H1N 3V2, Canada.	emmanuel.stip@umontreal.ca						53	33	34	2	6	LIBRAPHARM	NEWBURY	29-35  VENTURE WEST, NEW GREENHAM PARK, NEWBURY RG19 6HX, BERKSHIRE, ENGLAND	0300-7995			CURR MED RES OPIN	Curr. Med. Res. Opin.	MAR	2007	23	3					575	583		10.1185/030079906X167372		9	Medicine, General & Internal; Medicine, Research & Experimental	General & Internal Medicine; Research & Experimental Medicine	147OD	WOS:000245011400012	17355738	No			2017-07-26	
J	Jeannerod, J				Jeannerod, Jacob			And why not a non-representational explanation of the motor action? Neuromorphological considerations	DIALOGUE-CANADIAN PHILOSOPHICAL REVIEW			French	Book Review									Univ Quebec, Montreal, PQ H3C 3P8, Canada	Jeannerod, J (reprint author), Univ Quebec, Montreal, PQ H3C 3P8, Canada.							10	0	0	0	0	CANADIAN PHILOSOPHICAL ASSOC	OTTAWA	UNIV OTTAWA, 241-70 LAURIER AVENUE EAST, OTTAWA, ONTARIO K1N 6N5, CANADA	0012-2173			DIALOGUE-CAN PHILOS	Dialogue-Can. Philos. Rev.	SPR	2007	46	2					353	360				8	Philosophy	Philosophy	204LN	WOS:000249045400009		No			2017-07-26	
J	Baumann, CR; Acciarri, N; Bertalanffy, H; Devinsky, O; Elger, CE; Lo Russo, G; Cossu, M; Sure, U; Singh, A; Stefan, H; Hammen, T; Georgiadis, D; Baumgartner, RW; Andermann, F; Siegel, AM				Baumann, Christian R.; Acciarri, Nicola; Bertalanffy, Helmut; Devinsky, Orrin; Elger, Christian E.; Lo Russo, Giorgio; Cossu, Massimo; Sure, Uli; Singh, Anuradha; Stefan, Hermann; Hammen, Tilo; Georgiadis, Dimitrios; Baumgartner, Ralf W.; Andermann, Frederick; Siegel, Adrian M.			Seizure outcome after resection of supratentorial cavernous malformations: A study of 168 patients	EPILEPSIA			English	Article						cavernous malformation; epilepsy; outcome; resection	EPILEPTIC SEIZURES; NATURAL-HISTORY; ANGIOMAS; HEMANGIOMAS; MANAGEMENT; SERIES	Purpose: The optimal management of cerebral cavernous malformations (CCMs) with epileptic seizures is still a matter of debate. The aim of our study was to examine seizure outcome in the largest published series of surgically treated patients with epilepsy due to a supratentorial CCM, and to define predictors for good surgical outcome. Methods: We retrospectively studied 168 consecutive patients with a single supratentorial CCM and symptomatic epilepsy in a multicenter study. Pre- and postoperative clinical examinations, age at epilepsy onset, age at operation, type of symptoms due to the CCM (seizures, headache, hemorrhage, focal deficits), type and frequency of epileptic seizures, and the localization and size of the CCM were assessed. Seizure outcome was determined in the first, second, and third postoperative years. Results: The CCM was completely resected in all patients. More than two thirds of the patients were classified as seizure free in the first 3 postoperative years. Predictors for good seizure outcome were age older than 30 years at the time of surgery, mesiotemporal CCM localization, CCM size < 1.5 cm, and the absence of secondarily generalized seizures. No mortality occurred in our series, but only mild postoperative neurologic deficits in 12 (7%) patients. Conclusions: Considering the natural history of CCMs, the favorable neurologic and seizure outcome, surgical resection of CCMs should be considered in all patients with supratentorial CCMs and concomitant epilepsy, irrespective of the presence or absence of predictors for a favorable seizure outcome.	Univ Zurich Hosp, Neurol Klin, Dept Neurol, CH-8091 Zurich, Switzerland; Bellaria Hosp, Dept Neurosurg, Bologna, Italy; Philips Univ Hosp, Marburg, Germany; NYU, Sch Med, Dept Neurol, New York, NY USA; Univ Klin Bonn, Klin Epileptol, Bonn, Germany; Osped Niguarda Ca Granda, Epilepsy Surg Ctr C Munari, Milan, Italy; Univ Erlangen Nurnberg, Neurol Clin, Epilepsy Ctr, D-8520 Erlangen, Germany; Montreal Neurol Hosp & Inst, Epilepsy Clin, Montreal, PQ, Canada	Siegel, AM (reprint author), Univ Zurich Hosp, Neurol Klin, Dept Neurol, Frauenklin Str 26, CH-8091 Zurich, Switzerland.	adrian.siegel@usz.ch	shengkun, yu/B-8440-2012	Devinsky, Orrin/0000-0003-0044-4632				18	64	70	0	1	BLACKWELL PUBLISHING	OXFORD	9600 GARSINGTON RD, OXFORD OX4 2DQ, OXON, ENGLAND	0013-9580			EPILEPSIA	Epilepsia	MAR	2007	48	3					559	563		10.1111/j.1528-1167.2006.00941.x		5	Clinical Neurology	Neurosciences & Neurology	141WA	WOS:000244608500018	17346251	No			2017-07-26	
J	Dion, MH; Novotny, EJ; Carmant, L; Cossette, P; Nguyen, DK				Dion, Marie-Helene; Novotny, Edward J., Jr.; Carmant, Lionel; Cossette, Patrick; Nguyen, Dang Khoa			Lamotrigine therapy of epilepsy with Angelman's syndrome	EPILEPSIA			English	Article						Angelman syndrome; lamotrigine; refractory epilepsy	QUESTIONNAIRE; TOPIRAMATE; GABA	Purpose: Angelman syndrome (AS) is a neurogenetic disorder characterized by developmental delay and a frequently refractory epileptic condition. Valproate, clonazepam and/or phenytoin are said to be the most effective antiepileptic drugs (AEDs) against the seizures in AS. Experience with the newer AEDs is very limited despite their better safety profile and tolerability. Considering its favorable side effect profile and its effectiveness against both partial and generalized seizures, we hypothesized that lamotrigine (LTG) might be more efficacious and better tolerated. Methods: Potential patients for this retrospective study were identified from the epilepsy clinics at Notre-Dame, Sainte-Justine, and Yale New Haven hospitals. Patients were included in the study if they had AS along with refractory seizures. The medical record of each patient was reviewed with interest on seizure types, previous AEDs and response to LTG. Results: Five patients (2M, 3F) were included in this study. Age at LTG ranged from 10 to 33 years old. All had >= 2 seizure types, mainly generalized tonic-clonic, myoclonic seizures, and atypical absences. Previously tried AEDs included valproic acid (5), benzodiazepines (5), phenytoin (4), carbamazepine (3), and topiramate (1). One patient had pancreatitis on phenytoin, one had worsened seizures on carbamazepine, and one developed hepatic encephalopathy on valproic acid. Three patients became seizure-free with LTG (9, 20, and 36 months FU), one was seizure-free for 1 year with subsequent loss of efficacy, and one showed > 50% reduction in myoclonic seizures (20 months FU). No side effects were reported. Conclusion: LTG can be efficacious and well tolerated in patients with AS.	Univ Montreal, Notre Dame Hosp, Ctr Hosp, Montreal, PQ H2L 4M1, Canada; Yale Univ, Sch Med, New Haven, CT 06520 USA	Nguyen, DK (reprint author), Univ Montreal, Notre Dame Hosp, Ctr Hosp, 1560 Sherbrooke E, Montreal, PQ H2L 4M1, Canada.	d.nguyen@umontreal.ca						12	16	16	0	1	BLACKWELL PUBLISHING	OXFORD	9600 GARSINGTON RD, OXFORD OX4 2DQ, OXON, ENGLAND	0013-9580			EPILEPSIA	Epilepsia	MAR	2007	48	3					593	596		10.1111/j.1528-1167.2006.00969.x		4	Clinical Neurology	Neurosciences & Neurology	141WA	WOS:000244608500023	17326790	No			2017-07-26	
